purchase_datetime,product_title,sku,currency,price,quantity,total_price,session_id,trip_duration_mins,group_size
2/28/2024 8:29,Ef Ecos Laundry He Lavendar,7.49E+11,,,1,,0a284ea8-e451-419e-8c01-d7c18aa7d697,1.9166,1
2/28/2024 8:29,Guayaki Mate Enlighten Mint,6.32E+11,,,1,,0a284ea8-e451-419e-8c01-d7c18aa7d697,1.9166,1
2/28/2024 8:31,J Dean Muffin Egg Cheese,77900514999,,,1,,ea2e9e4c-263e-496c-bc4e-dac32fda61e7,0.9166,1
2/28/2024 8:32,Ito En Jasmine Green 16 9 Oz,8.35E+11,,,1,,1210806c-8023-4a75-85e1-d91fb3bf9f49,0.7,1
2/28/2024 8:32,Smuckers Uncrustable Straw,51500069615,,,1,,1210806c-8023-4a75-85e1-d91fb3bf9f49,0.7,1
2/28/2024 8:32,Smuckers Uncrustables Wheat,51500069608,,,1,,1210806c-8023-4a75-85e1-d91fb3bf9f49,0.7,1
2/28/2024 8:32,Tape It Sealing Tape Clear,21854005003,,,1,,1210806c-8023-4a75-85e1-d91fb3bf9f49,0.7,1
2/28/2024 8:34,Guayaki Mate Orange Exuberance,6.32E+11,,,1,,32b8fad3-7dbe-48a7-9e56-6b5a3f974e21,1.15,1
2/28/2024 8:34,Rips Bites,48014004157,,,1,,32b8fad3-7dbe-48a7-9e56-6b5a3f974e21,1.15,1
2/28/2024 8:36,Kind Drk Choc Almond & Coconut,6.03E+11,,,1,,58bc6219-a4f0-4df4-90fb-0f2f0aaef269,0.65,1
2/28/2024 8:36,Alta Dena Milk 2% 16oz,70399105754,,,1,,e970fc08-7fe6-4e37-bc91-c4f76306ba88,0.85,3
2/28/2024 8:37,Starbucks Dbl Mocha 15 Oz,12000028458,,,1,,a2deffe4-b18a-49fd-8c4b-f46d425d9b8e,0.6333,1
2/28/2024 8:37,Banana,99990000329,,,1,,ecb78c96-3fd2-4b11-8273-ab469b634fc8,1.1,1
2/28/2024 8:37,Turkey & Cheddar Sandwich,99999102727,,,1,,ecb78c96-3fd2-4b11-8273-ab469b634fc8,1.1,1
2/28/2024 8:39,Naked Strawberry Banana,82592194152,,,1,,1567ffa5-9047-44d7-bd2c-58de972db3ff,0.7666,1
2/28/2024 8:39,Guayaki Mate Bluephoria,6.32E+11,,,1,,c316b968-1692-4690-9ad9-c6c7c07eb9b7,0.6833,1
2/28/2024 8:40,Field Day Tissue,42563600440,,,1,,58144c03-0df0-48b9-aeb1-ff3dbad53b2b,0.6166,1
2/28/2024 8:40,Daves Killer Powerseed Bread,13764027282,,,1,,595df287-143a-494e-87c2-b32e7151d04e,2.8166,1
2/28/2024 8:40,Mishima Instant Miso,8.31E+11,,,1,,595df287-143a-494e-87c2-b32e7151d04e,2.8166,1
2/28/2024 8:40,Smuckers Uncrustables Wheat,51500069608,,,1,,595df287-143a-494e-87c2-b32e7151d04e,2.8166,1
2/28/2024 8:41,Kelloggs Eggo Waffle Mpl Lge,38000276095,,,1,,46c2b70b-4530-45a7-890a-a4da334b656c,5.8,2
2/28/2024 8:41,Yoplait Blueberry,70470003023,,,1,,46c2b70b-4530-45a7-890a-a4da334b656c,5.8,2
2/28/2024 8:42,Banana,99990000329,,,1,,32aa7802-3727-42a3-8e69-631e2dadc456,0.6833,1
2/28/2024 8:42,High Brew Coffee Black Bold,8.55E+11,,,1,,8e1ae07d-accc-4099-a5a3-9adb27f8d430,1.35,1
2/28/2024 8:42,Orgain Protein Shake Vanilla,8.52E+11,,,1,,8e1ae07d-accc-4099-a5a3-9adb27f8d430,1.35,1
2/28/2024 8:44,Paperbag Key,99990036793,,,1,,3d333d2a-495e-4217-9c65-ba1d8ac0e12c,2.1166,1
2/28/2024 8:44,Sadaf Hummus Traditional,52851626021,,,1,,3d333d2a-495e-4217-9c65-ba1d8ac0e12c,2.1166,1
2/28/2024 8:44,Tomato Single,99990005614,,,1,,3d333d2a-495e-4217-9c65-ba1d8ac0e12c,2.1166,1
2/28/2024 8:44,Tostitos Salsa Verde Xvl,28400357296,,,1,,3d333d2a-495e-4217-9c65-ba1d8ac0e12c,2.1166,1
2/28/2024 8:44,3bridges Egg Bites Bacon Chees,7.43E+11,,,1,,5268fa34-b7ab-487e-b5c9-70480e27875f,3.9666,1
2/28/2024 8:44,Banana,99990000329,,,1,,5268fa34-b7ab-487e-b5c9-70480e27875f,3.9666,1
2/28/2024 8:44,Quest Protein Mint Choc Chunk,8.89E+11,,,1,,5268fa34-b7ab-487e-b5c9-70480e27875f,3.9666,1
2/28/2024 8:44,Mush Ovrnt Oats Vanilla,8.50E+11,,,1,,b581eb34-a06c-48a1-9f82-2d40db6bb470,3.7833,1
2/28/2024 8:45,Smartwater Alkln Antx 1 Liter,7.86E+11,,,1,,717bcf28-b3e2-4ff2-ab00-e6f798708189,0.8166,1
2/28/2024 8:45,Guayaki Mate Orange Exuberance,6.32E+11,,,1,,d323e2a3-2363-40d2-b8f8-8e126be9f762,0.7333,1
2/28/2024 8:45,Nong Shim Ndl Bowl Shrimp,31146262748,,,1,,fa756d08-275d-48d3-8691-18aa664d8008,1.1833,1
2/28/2024 8:46,Raos Chicken Parmesan,7.47E+11,,,1,,c78dbf2c-5b7b-4334-9d2d-afb423ca42e3,2.6333,1
2/28/2024 8:46,Yakult Probiotic Drink,6.99E+11,,,1,,c78dbf2c-5b7b-4334-9d2d-afb423ca42e3,2.6333,1
2/28/2024 8:46,Clif Wht Choc Macadamia,7.22E+11,,,1,,04de0d35-903f-4e8a-8602-2190fe676255,0.3166,1
2/28/2024 8:47,Banana,99990000329,,,1,,8bf360bb-a9a1-4516-a2ce-d7ca5c13a311,0.8833,1
2/28/2024 8:47,Starbucks Dbl Coff 15 Oz,12000028472,,,1,,975347d8-7cab-4ab8-b040-1321a2b5008b,0.5166,1
2/28/2024 8:47,Banana,99990000329,,,1,,9b7af191-4f07-4a72-b802-5511d3fa686f,0.6333,1
2/28/2024 8:47,Ito En Dark Green 16 9 Oz,8.35E+11,,,1,,3a1834ea-4fb2-46d1-bfd7-8ce837348054,0.9333,1
2/28/2024 8:49,Clif Crunchy Peanut Butter,7.22E+11,,,1,,75d9474f-1f20-4362-9c0f-a56b0c1fbfb3,0.9166,1
2/28/2024 8:49,Banana,99990000329,,,2,,dd0ddb97-799b-4f95-a945-3459c69a892b,2.3333,1
2/28/2024 8:49,Kind Clusters Drk Choc Almd Bt,6.03E+11,,,1,,dd0ddb97-799b-4f95-a945-3459c69a892b,2.3333,1
2/28/2024 8:49,Smartwater Alkln Antx 1 Liter,7.86E+11,,,1,,dd0ddb97-799b-4f95-a945-3459c69a892b,2.3333,1
2/28/2024 8:50,Pineapple,99999102680,,,1,,47f9a80d-25ab-4d15-adc3-24137f8a711e,0.8666,1
2/28/2024 8:50,Celsius Fit Sprklng Wild Berry,8.89E+11,,,1,,90577102-da7c-4b4d-b378-6220d6d411e0,0.6333,1
2/28/2024 8:50,Naked Strawberry Banana,82592194152,,,1,,b5c24193-01ed-482a-8b75-e2996d979e7f,0.5666,1
2/28/2024 8:51,Trop Apple Juice 12 Oz,48500017791,,,1,,5262dc12-f6e4-4ee1-831b-f18bbe454df2,0.5833,1
2/28/2024 8:51,Gallo Pepperoni Sliced 3oz,44500003017,,,1,,a28000d9-57db-449b-aeb5-0b946c1a1305,3.9833,1
2/28/2024 8:51,Gardein Veg Chickn Tenders Hot,8.42E+11,,,1,,a28000d9-57db-449b-aeb5-0b946c1a1305,3.9833,1
2/28/2024 8:51,Grapes Green Seedless,99990002460,,,1,,a28000d9-57db-449b-aeb5-0b946c1a1305,3.9833,1
2/28/2024 8:51,Graziers Butter Salted,6.88E+11,,,1,,a28000d9-57db-449b-aeb5-0b946c1a1305,3.9833,1
2/28/2024 8:51,Kelloggs Eggo Waffle Mpl Lge,38000276095,,,1,,a28000d9-57db-449b-aeb5-0b946c1a1305,3.9833,1
2/28/2024 8:51,Tgif Wings Buffalo Chic,46704098448,,,1,,a28000d9-57db-449b-aeb5-0b946c1a1305,3.9833,1
2/28/2024 8:51,Kelloggs Eggo Waffle Mpl Lge,38000276095,,,1,,e620af90-f149-4422-81c3-4fde855c1f98,0.5666,1
2/28/2024 8:52,Vanilla Yogurt Parfait,99999102352,,,1,,3308b87d-4752-4ab7-8862-d9a35c34684d,0.55,1
2/28/2024 8:52,Blueberries,99990005447,,,1,,6020710d-ef85-49d3-bd86-c5a72a2b5dc9,0.9,1
2/28/2024 8:52,Pro Bar Meal Oatmeal Choc Chip,8.53E+11,,,1,,6020710d-ef85-49d3-bd86-c5a72a2b5dc9,0.9,1
2/28/2024 8:52,Raspberries,99990005454,,,1,,6020710d-ef85-49d3-bd86-c5a72a2b5dc9,0.9,1
2/28/2024 8:54,Guayaki Mate Tropical Uprising,6.32E+11,,,1,,c2bf0cde-b927-40fe-b546-392a431c62c6,1.1,1
2/28/2024 8:55,Lipton Pureleaf Sweetened,12000286193,,,1,,2191cb78-cb2c-475b-b6c0-87bc2a4abb32,1.1333,1
2/28/2024 8:55,Smuckers Uncrustable Straw,51500069615,,,1,,2191cb78-cb2c-475b-b6c0-87bc2a4abb32,1.1333,1
2/28/2024 8:56,Angies Boom Pop Sweet Salt,8.19E+11,,,1,,d460c4ed-3b64-4562-b4a9-365f4d138c0e,0.7666,1
2/28/2024 8:56,Smuckers Uncrustable Straw,51500069615,,,1,,3cefde7d-6de8-49d9-a953-458b8d2b61c1,0.5166,1
2/28/2024 8:57,Guayaki Mate Enlighten Mint,6.32E+11,,,1,,6d7e0077-530b-4084-bef4-c1a5e1ea4a9b,0.7166,1
2/28/2024 8:57,Mush Ovrnt Oats Vanilla,8.50E+11,,,1,,6ce598f0-7db3-4f6e-8522-1a0d050d1073,0.4333,1
2/28/2024 8:57,Clif Builders Choc Pnt Butter,7.22E+11,,,1,,7cd87558-82b4-4e2b-a26e-84c600cfec84,0.5166,1
2/28/2024 8:57,Orgain Protein Shake Chocolate,8.52E+11,,,1,,7cd87558-82b4-4e2b-a26e-84c600cfec84,0.5166,1
2/28/2024 8:58,My Mochi Green Tea Sngl,70934996601,,,1,,4af6e7c2-c017-4762-8924-fac12fe8aee4,1.4333,1
2/28/2024 8:59,Fairlife Milk Lowfat,8.12E+11,,,1,,d4273d05-7b59-48e8-88b7-01497aa65d9b,0.6166,1
2/28/2024 8:59,Larabar Apple Pie,21908509273,,,1,,8ab5073d-9045-4200-8cf3-556bc6da96ca,0.8166,1
2/28/2024 8:59,Pro Bar Meal Whole Berry Blast,8.53E+11,,,2,,8ab5073d-9045-4200-8cf3-556bc6da96ca,0.8166,1
2/28/2024 8:59,Rxbar Mixed Berry,8.58E+11,,,1,,8ab5073d-9045-4200-8cf3-556bc6da96ca,0.8166,1
2/28/2024 8:59,Sprite Can 16oz,49000053432,,,1,,00a72983-aec2-4068-8f33-b255e3b4c644,0.7166,1
2/28/2024 9:00,Minute Maid Orange Juice,25000061530,,,1,,264d22a0-d12e-4991-a17c-e455f538a902,1.2,1
2/28/2024 9:00,Smuckers Uncrustable Straw,51500069615,,,1,,264d22a0-d12e-4991-a17c-e455f538a902,1.2,1
2/28/2024 9:00,Mush Ovrnt Oats Vanilla,8.50E+11,,,1,,ebf1d8dc-a992-4e04-868c-310e06ffe30b,1.1,1
2/28/2024 9:02,Chino Veg A Fed Egg L White Dz,95437000600,,,1,,1332b7be-16bc-40f1-9f05-c115d2ab0a05,1.3666,1
2/28/2024 9:02,Smart Chix Sausage Cntry Brkfs,6.70E+11,,,1,,1332b7be-16bc-40f1-9f05-c115d2ab0a05,1.3666,1
2/28/2024 9:02,Guayaki Mate Orange Exuberance,6.32E+11,,,1,,7713aa48-c4cd-412e-aded-eec9409e8412,0.95,2
2/28/2024 9:03,Smartwater Alkln Antx 1 Liter,7.86E+11,,,1,,80b1da62-2fe7-4064-8097-4f875100ee29,0.8166,1
2/28/2024 9:04,Banana,99990000329,,,1,,57d32ddc-3ff1-418e-849b-467f25fafdaa,3.05,1
2/28/2024 9:04,Snak Club Mix Swt & Salty,87076214401,,,1,,57d32ddc-3ff1-418e-849b-467f25fafdaa,3.05,1
2/28/2024 9:04,Grilled Chicken,99999102505,,,4,,7f2519f8-33df-4314-bbe4-9f99e6575fd1,1.8166,1
2/28/2024 9:04,Smartwater Alkln Antx 1 Liter,7.86E+11,,,2,,7f2519f8-33df-4314-bbe4-9f99e6575fd1,1.8166,1
2/28/2024 9:06,Nab Chips Ahoy King Size,44000056940,,,1,,281c9cf4-f776-44a7-b78c-256d4a8dcd4a,2.9,1
2/28/2024 9:06,Orgain Protein Shake Chocolate,8.52E+11,,,2,,281c9cf4-f776-44a7-b78c-256d4a8dcd4a,2.9,1
2/28/2024 9:06,Trop Apple Juice 12 Oz,48500017791,,,1,,281c9cf4-f776-44a7-b78c-256d4a8dcd4a,2.9,1
2/28/2024 9:06,Wrigley 5 Rain Ptp,22000005144,,,1,,281c9cf4-f776-44a7-b78c-256d4a8dcd4a,2.9,1
2/28/2024 9:06,Yoplait Blueberry,70470003023,,,1,,281c9cf4-f776-44a7-b78c-256d4a8dcd4a,2.9,1
2/28/2024 9:07,Cherry Coke 20 Oz,49000018011,,,1,,74755056-92ba-4e01-8043-cbeb63ab07a3,0.8166,1
2/28/2024 9:07,Kinder Bueno Chocolate Bar,9800000555,,,1,,74755056-92ba-4e01-8043-cbeb63ab07a3,0.8166,1
2/28/2024 9:07,Quaker Oatmeal Cup Apple Cinn,30000319567,,,1,,8c5a0cd1-8c1d-467d-86d2-0c1c417d68d5,2.6166,1
2/28/2024 9:08,Banana,99990000329,,,1,,0e1b309b-dba3-4d49-afb4-a44d7a099c1e,1.9,1
2/28/2024 9:08,Chobani Grk Mango Low Fat,8.95E+11,,,1,,0e1b309b-dba3-4d49-afb4-a44d7a099c1e,1.9,1
2/28/2024 9:08,Clif Builders Choc Chip Ck Dgh,7.22E+11,,,1,,0e1b309b-dba3-4d49-afb4-a44d7a099c1e,1.9,1
2/28/2024 9:09,Naked Blue Machine,82592727152,,,1,,1d9721b8-fa47-4ea9-92c0-a357de53c0a3,0.55,1
2/28/2024 9:10,Smuckers Uncrustable Straw,51500069615,,,1,,12962f19-3ff7-42b4-a096-36e7f97f8aae,0.4833,1
2/28/2024 9:10,Smuckers Uncrustables Wheat,51500069608,,,1,,12962f19-3ff7-42b4-a096-36e7f97f8aae,0.4833,1
2/28/2024 9:11,Haribo Sour Gold Bears,42238312210,,,1,,2b4ee98f-103f-41ee-91e1-60ac2474d95c,1.7166,1
2/28/2024 9:12,Pringles Sr Cream Onion,38000138430,,,1,,d5b3b64f-f89c-47a5-89e6-0b54b25c3162,2.1666,1
2/28/2024 9:12,Vit Water Essential,7.86E+11,,,1,,d5b3b64f-f89c-47a5-89e6-0b54b25c3162,2.1666,1
2/28/2024 9:12,Monster Green,70847811169,,,1,,5109f878-8d36-415c-9073-036ac86a1eb5,0.6833,1
2/28/2024 9:13,Kellog Froot Loops Cup,38000635304,,,1,,76e6e982-2e3f-4ece-b7aa-9b23d135dc82,0.6833,1
2/28/2024 9:13,Starbucks Frap Caramel 13 7 Oz,12000016721,,,1,,76e6e982-2e3f-4ece-b7aa-9b23d135dc82,0.6833,1
2/28/2024 9:17,Bimbo Concha Single Serve 2pck,74323091458,,,1,,0efe3f51-4fec-4152-9e4d-652bd314ebb3,1.1,2
2/28/2024 9:17,Chobani Grk Mango Low Fat,8.95E+11,,,1,,0efe3f51-4fec-4152-9e4d-652bd314ebb3,1.1,2
2/28/2024 9:18,Yoplait Grk Straw 100 Cal,70470433325,,,1,,c6a3b234-6fdf-44d8-8f2e-d60add3991ba,1.0666,1
